SUMLEV,REGION,DIVISION,STATE,NAME,SEX,ORIGIN,RACE,AGE,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018
040,3,7,05,Arkansas,1,0,3,40,206,206,199,180,172,167,191,193,168,176,213
040,3,7,05,Arkansas,1,0,4,40,289,289,307,345,334,343,311,349,344,359,331
040,3,7,05,Arkansas,1,0,5,40,48,48,48,48,51,61,73,74,80,88,99
040,3,7,05,Arkansas,1,0,6,40,210,210,215,230,223,219,218,228,219,240,250
040,3,7,05,Arkansas,1,1,1,40,14629,14630,14649,14451,13549,12873,12709,12947,12313,12601,12804
040,3,7,05,Arkansas,1,1,2,40,2598,2598,2588,2566,2535,2462,2408,2530,2524,2562,2604
040,3,7,05,Arkansas,1,1,3,40,148,148,145,135,127,117,130,136,123,130,148
040,3,7,05,Arkansas,1,1,4,40,282,282,300,337,328,332,301,335,328,347,316
040,3,7,05,Arkansas,1,1,5,40,34,34,35,32,38,51,58,63,68,73,86
040,3,7,05,Arkansas,1,1,6,40,182,182,190,207,198,195,191,189,182,189,205
040,3,7,05,Arkansas,1,2,1,40,1285,1285,1301,1361,1356,1368,1399,1549,1580,1555,1642
040,3,7,05,Arkansas,1,2,2,40,47,47,46,38,32,40,38,37,46,49,43
040,3,7,05,Arkansas,1,2,3,40,58,58,54,45,45,50,61,57,45,46,65
040,3,7,05,Arkansas,1,2,4,40,7,7,7,8,6,11,10,14,16,12,15
040,3,7,05,Arkansas,1,2,5,40,14,14,13,16,13,10,15,11,12,15,13
040,3,7,05,Arkansas,1,2,6,40,28,28,25,23,25,24,27,39,37,51,45
040,3,7,05,Arkansas,2,0,1,40,15429,15429,15568,15739,14968,14345,13846,14129,13483,13925,14140
040,3,7,05,Arkansas,2,0,2,40,3002,3003,3015,3039,3001,2871,2908,3115,2958,3192,3101
040,3,7,05,Arkansas,2,0,3,40,184,184,187,194,178,181,180,158,164,178,202
040,3,7,05,Arkansas,2,0,4,40,352,352,349,330,349,385,414,430,431,422,409
040,3,7,05,Arkansas,2,0,5,40,31,31,33,42,43,45,56,53,70,98,82
040,3,7,05,Arkansas,2,0,6,40,228,228,225,211,218,224,211,241,235,261,293
040,3,7,05,Arkansas,2,1,1,40,14393,14393,14499,14555,13763,13079,12564,12799,12164,12636,12755
040,3,7,05,Arkansas,2,1,2,40,2957,2958,2973,3002,2958,2830,2873,3080,2918,3148,3064
040,3,7,05,Arkansas,2,1,3,40,150,150,145,131,144,144,136,112,115,135,157
040,3,7,05,Arkansas,2,1,4,40,342,342,339,317,342,379,404,412,425,411,399
040,3,7,05,Arkansas,2,1,5,40,27,27,28,33,36,39,50,49,64,82,77
040,3,7,05,Arkansas,2,1,6,40,201,201,198,188,199,199,188,222,210,220,241
040,3,7,05,Arkansas,2,2,1,40,1036,1036,1069,1184,1205,1266,1282,1330,1319,1289,1385
040,3,7,05,Arkansas,2,2,2,40,45,45,42,37,43,41,35,35,40,44,37
040,3,7,05,Arkansas,2,2,3,40,34,34,42,63,34,37,44,46,49,43,45
040,3,7,05,Arkansas,2,2,4,40,10,10,10,13,7,6,10,18,6,11,10
040,3,7,05,Arkansas,2,2,5,40,4,4,5,9,7,6,6,4,6,16,5
040,3,7,05,Arkansas,2,2,6,40,27,27,27,23,19,25,23,19,25,41,52
040,4,9,06,California,0,0,1,40,414009,414014,409538,391144,367555,356494,353848,366612,353171,358584,358642
040,4,9,06,California,0,0,2,40,38307,38308,37704,35124,32261,30991,30487,32318,31404,32265,32592
040,4,9,06,California,0,0,3,40,9429,9429,9411,9194,8775,8743,8696,9015,8922,9029,9142
040,4,9,06,California,0,0,4,40,84917,84918,85667,84733,86449,86902,87405,89681,87277,87690,87245
040,4,9,06,California,0,0,5,40,2829,2829,2786,2628,2541,2614,2605,2727,2597,2800,2812
040,4,9,06,California,0,0,6,40,14254,14254,14309,14335,13605,13502,13768,14471,14951,15803,16478
040,4,9,06,California,0,1,1,40,216728,216731,214193,200264,179318,167606,164571,171204,162861,168162,169296
040,4,9,06,California,0,1,2,40,34523,34524,33898,31293,28473,27168,26582,28179,26795,27680,27959
040,4,9,06,California,0,1,3,40,2444,2444,2400,2252,2050,1970,1906,2011,1923,2016,2034
040,4,9,06,California,0,1,4,40,81736,81737,82498,81636,83336,83835,84379,86311,83818,84207,83785
040,4,9,06,California,0,1,5,40,2182,2182,2133,1954,1888,1959,1914,1984,1855,1947,1980
040,4,9,06,California,0,1,6,40,10093,10093,10134,10197,9621,9491,9531,10024,10038,10529,11049
040,4,9,06,California,0,2,1,40,197281,197283,195345,190880,188237,188888,189277,195408,190310,190422,189346
040,4,9,06,California,0,2,2,40,3784,3784,3806,3831,3788,3823,3905,4139,4609,4585,4633
040,4,9,06,California,0,2,3,40,6985,6985,7011,6942,6725,6773,6790,7004,6999,7013,7108
040,4,9,06,California,0,2,4,40,3181,3181,3169,3097,3113,3067,3026,3370,3459,3483,3460
040,4,9,06,California,0,2,5,40,647,647,653,674,653,655,691,743,742,853,832
040,4,9,06,California,0,2,6,40,4161,4161,4175,4138,3984,4011,4237,4447,4913,5274,5429
040,4,9,06,California,1,0,1,40,212937,212940,210226,199330,187261,181162,180281,187542,180431,183590,184250
040,4,9,06,California,1,0,2,40,19151,19151,18805,17364,16070,15419,15150,16110,15685,16138,16357
040,4,9,06,California,1,0,3,40,4879,4879,4867,4703,4566,4521,4516,4604,4685,4716,4744
040,4,9,06,California,1,0,4,40,39639,39639,39879,39103,39897,40138,40652,41853,40652,40488,40485
040,4,9,06,California,1,0,5,40,1373,1373,1352,1290,1241,1299,1295,1387,1280,1374,1457
040,4,9,06,California,1,0,6,40,6964,6964,6904,6774,6517,6490,6590,7041,7343,7594,8070
040,4,9,06,California,1,1,1,40,111377,111379,109969,102840,92504,86629,85209,88854,84157,87130,87799
040,4,9,06,California,1,1,2,40,17333,17333,17002,15672,14353,13672,13397,14172,13511,14013,14124
040,4,9,06,California,1,1,3,40,1201,1201,1167,1106,1013,962,978,1012,981,995,1044
040,4,9,06,California,1,1,4,40,38064,38064,38326,37605,38383,38689,39188,40160,38960,38720,38796
040,4,9,06,California,1,1,5,40,1050,1050,1032,960,922,952,937,995,911,949,1010
040,4,9,06,California,1,1,6,40,4894,4894,4866,4791,4590,4544,4534,4852,4853,5011,5368
